Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Index,Ticker
1998-03-06 00:00:00-05:00,21.06198615687234,21.29917068566595,20.872238533837457,21.251733779907227,211200,0.0,0.0,SandP500,RL
1998-03-09 00:00:00-05:00,21.39404069508938,21.58378828440281,21.15685620844759,21.488914489746094,89900,0.0,0.0,SandP500,RL
1998-03-10 00:00:00-05:00,21.48891315338718,22.674835512845632,21.48891315338718,22.342777252197266,420200,0.0,0.0,SandP500,RL
1998-03-11 00:00:00-05:00,22.390221820880416,22.390221820880416,21.96328962514329,22.105600357055664,150100,0.0,0.0,SandP500,RL
1998-03-12 00:00:00-05:00,22.20046440028745,23.149202195171533,21.82096928233382,22.674833297729492,463500,0.0,0.0,SandP500,RL
1998-03-13 00:00:00-05:00,22.864593208087648,23.006903954196076,22.39022405439288,22.485097885131836,340000,0.0,0.0,SandP500,RL
1998-03-16 00:00:00-05:00,22.864584012198005,23.33895297510668,22.81714711590714,23.101768493652344,288300,0.0,0.0,SandP500,RL
1998-03-17 00:00:00-05:00,22.485089078862615,22.674836666026014,22.01072011095412,22.29534149169922,326800,0.0,0.0,SandP500,RL
1998-03-18 00:00:00-05:00,22.20046615600586,22.2479030495016,21.868407901535686,22.20046615600586,601600,0.0,0.0,SandP500,RL
1998-03-19 00:00:00-05:00,22.20046891456793,23.244080701150185,22.153032015177832,22.95945930480957,518700,0.0,0.0,SandP500,RL
1998-03-20 00:00:00-05:00,23.054328415683123,23.291512864404144,22.627396407985287,22.674833297729492,245500,0.0,0.0,SandP500,RL
1998-03-23 00:00:00-05:00,22.67484092317506,23.291520697236308,22.532530206084004,22.912025451660156,217200,0.0,0.0,SandP500,RL
1998-03-24 00:00:00-05:00,23.101771182510966,23.481266397008067,22.959460477074554,23.38639259338379,194500,0.0,0.0,SandP500,RL
1998-03-25 00:00:00-05:00,23.5287020974908,23.5287020974908,22.864585506029368,22.95945930480957,166300,0.0,0.0,SandP500,RL
1998-03-26 00:00:00-05:00,22.7697147345691,22.912025451660156,22.390219488992948,22.912025451660156,192600,0.0,0.0,SandP500,RL
1998-03-27 00:00:00-05:00,22.7697070772179,22.7697070772179,22.485085738752677,22.674833297729492,121400,0.0,0.0,SandP500,RL
1998-03-30 00:00:00-05:00,22.390208967045606,22.959451567902697,22.390208967045606,22.722267150878906,492700,0.0,0.0,SandP500,RL
1998-03-31 00:00:00-05:00,22.579963715805086,22.912022005743395,22.53252681724247,22.817148208618164,525000,0.0,0.0,SandP500,RL
1998-04-01 00:00:00-05:00,22.817140917688423,22.912014684497937,22.48508273385512,22.722267150878906,218000,0.0,0.0,SandP500,RL
